strike,call,put,call_settle,put_settle,vol,call_delta,put_delta,gamma,vega,theta,straddle,call_oi,put_oi,call_volume,put_volume,dens_call,dens_put,dens_total
101.0,0.01,11.15,0.02,10.5,104.21,0.01,-1.0,0.005,0.00082,-0.01,11.16,7,5,11,0,0.035,0.025,0.060000000000000005
101.3,0.01,11.4,0.02,10.75,106.22,0.01,-1.0,0.005,0.00082,-0.01,11.41,0,3,0,0,0,0.015,0.015
101.5,0.01,11.65,0.02,11.0,108.23,0.01,-1.0,0.004,0.00081,-0.01,11.66,6,0,5,0,0.024,0,0.024
101.8,0.01,11.9,0.02,11.25,110.23,0.01,-1.0,0.004,0.0008,-0.01,11.91,2,3,0,0,0.008,0.012,0.02
102.0,0.0,12.15,0.01,11.49,103.01,0.0,-1.0,0.003,0.00045,-0.005,12.15,22,4,6,0,0.066,0.012,0.078
102.3,0.0,12.4,0.01,11.74,104.86,0.0,-1.0,0.003,0.00044,-0.005,12.4,0,8,0,0,0,0.024,0.024
102.5,0.0,12.65,0.01,11.99,106.7,0.0,-1.0,0.002,0.00044,-0.005,12.65,133,1,24,0,0.266,0.002,0.268
102.8,0.0,12.9,0.01,12.24,108.54,0.0,-1.0,0.002,0.00044,-0.005,12.9,0,3,0,0,0,0.006,0.006
103.0,0.0,13.15,0.01,12.49,110.36,0.0,-1.0,0.002,0.00043,-0.005,13.15,7,11,10,0,0.014,0.022,0.036
103.3,0.0,13.4,0.01,12.74,112.18,0.0,-1.0,0.002,0.00043,-0.005,13.4,0,1,0,0,0,0.002,0.002
103.5,0.0,13.65,0.01,12.99,113.99,0.0,-1.0,0.002,0.00043,-0.005,13.65,8,3,0,0,0.016,0.006,0.022
103.8,0.0,13.9,0.01,13.24,115.79,0.0,-1.0,0.002,0.00042,-0.005,13.9,0,1,0,0,0,0.002,0.002
104.0,0.0,14.15,0.01,13.49,117.58,0.0,-1.0,0.002,0.00042,-0.005,14.15,3,1,3,0,0.006,0.002,0.008
104.3,0.0,14.4,0.01,13.74,119.37,0.0,-1.0,0.002,0.00042,-0.005,14.4,,,,,,,
104.5,0.0,14.65,0.01,13.99,121.15,0.0,-1.0,0.002,0.00041,-0.005,14.65,0,1,4,0,0,0.002,0.002
104.8,0.0,14.9,0.01,14.24,122.92,0.0,-1.0,0.002,0.00041,-0.005,14.9,1,0,1,0,0.002,0,0.002
105.0,0.01,15.15,0.01,14.49,124.69,0.0,-1.0,0.002,0.00041,-0.005,15.16,102,0,4,0,0.204,0,0.204
105.3,0.01,15.4,0.01,14.74,126.44,0.0,-1.0,0.002,0.0004,-0.005,15.41,,,,,,,
105.5,0.01,15.65,0.01,14.99,128.2,0.0,-1.0,0.002,0.0004,-0.005,15.66,,,,,,,
105.8,0.01,15.9,0.01,15.24,129.94,0.0,-1.0,0.002,0.0004,-0.005,15.91,,,,,,,
106.0,0.01,16.15,0.01,15.49,131.68,0.0,-1.0,0.002,0.00039,-0.005,16.16,22,0,0,0,0.044,0,0.044
106.5,0.01,16.65,0.01,15.99,135.13,0.0,-1.0,0.002,0.00039,-0.005,16.66,,,,,,,
107.0,0.01,17.15,0.01,16.49,138.56,0.0,-1.0,0.002,0.00038,-0.005,17.16,18,0,1,0,0.036,0,0.036
107.5,0.01,17.65,0.01,16.99,141.96,0.0,-1.0,0.002,0.00038,-0.005,17.66,113,1,10,0,0.226,0.002,0.228
108.0,0.01,18.15,0.01,17.49,145.33,0.0,-1.0,0.002,0.00037,-0.005,18.16,23,0,2,0,0.046,0,0.046
108.5,0.01,18.65,0.01,17.99,148.68,0.0,-1.0,0.001,0.00037,-0.005,18.66,3,0,3,0,0.003,0,0.003
109.0,0.01,19.15,0.01,18.49,152.01,0.0,-1.0,0.001,0.00036,-0.005,19.16,7,0,10,0,0.007,0,0.007
109.5,0.01,19.65,0.01,18.99,155.31,0.0,-1.0,0.001,0.00036,-0.005,19.66,,,,,,,
110.0,0.01,20.15,0.01,19.49,158.59,0.0,-1.0,0.001,0.00035,-0.005,20.16,169,1,132,0,0.169,0.001,0.17
110.5,0.01,20.65,0.01,19.99,161.85,0.0,-1.0,0.001,0.00035,-0.005,20.66,2,0,0,0,0.002,0,0.002
112.5,0.01,22.65,0.01,21.99,174.65,0.0,-1.0,0.001,0.00033,-0.006,22.66,122,1,0,0,0.122,0.001,0.123
